date,count
2001-11-08,22
2001-11-09,25
2001-11-10,20
2001-11-11,23
2001-11-12,20
2001-11-13,23
2001-11-14,26
2001-11-15,13
2001-11-16,18
2001-11-17,26
2001-11-18,15
2001-11-19,16
2001-11-20,15
2001-11-21,18
2001-11-22,14
2001-11-23,20
2001-11-24,14
2001-11-25,10
2001-11-26,16
2001-11-27,16
2001-11-28,27
2001-11-29,18
2001-11-30,26
2001-12-01,20
2001-12-02,20
2001-12-03,28
2001-12-04,20
2001-12-05,24
2001-12-06,22
2001-12-07,28
2001-12-08,21
2001-12-09,10
2001-12-10,17
2001-12-11,11
2001-12-12,27
2001-12-13,22
2001-12-14,22
2001-12-15,22
2001-12-16,14
2001-12-17,18
2001-12-18,24
2001-12-19,17
2001-12-20,11
2001-12-21,17
2001-12-22,10
2001-12-23,13
2001-12-24,7
2001-12-25,5
2001-12-26,6
2001-12-27,8
2001-12-28,13
2001-12-29,15
2001-12-30,9
2001-12-31,9
